| targetfield | observingslot |       airmass |
|     Umi_C02 | 20210201_0900 |  1.5228920488 |
|     Umi_C02 | 20210201_1000 | 1.47057371623 |
|     Umi_C02 | 20210201_1100 | 1.47462367639 |
|     Umi_C02 | 20210201_1200 | 1.53569374962 |
|     Umi_C02 | 20210201_1300 | 1.66398555209 |
|     Umi_C02 | 20210201_1400 | 1.88323758883 |
|     Umi_C02 | 20210210_0700 | 1.84390623286 |
|     Umi_C02 | 20210210_0800 | 1.64023556236 |
|     Umi_C02 | 20210210_0900 |  1.5228920488 |
|     Umi_C02 | 20210210_1000 | 1.47057371623 |
|     Umi_C02 | 20210210_1100 | 1.47462367639 |
|     Umi_C02 | 20210210_1200 | 1.53569374962 |
|     Umi_C02 | 20210210_1300 | 1.66398555209 |
|     Umi_C02 | 20210210_1400 | 1.88323758883 |
|     Umi_C02 | 20210211_0700 | 1.82722978006 |
|     Umi_C02 | 20210211_0800 | 1.63022379363 |
|     Umi_C02 | 20210211_0900 | 1.51762414656 |
|     Umi_C02 | 20210211_1000 | 1.46915434256 |
|     Umi_C02 | 20210211_1100 | 1.47682480965 |
|     Umi_C02 | 20210211_1200 |  1.5418705841 |
|     Umi_C02 | 20210211_1300 | 1.67520866015 |
|     Umi_C02 | 20210211_1400 | 1.90173389459 |
|     Umi_C03 | 20210201_0700 | 1.84390623286 |
|     Umi_C03 | 20210201_0800 | 1.64023556236 |
|     Umi_C03 | 20210201_0900 |  1.5228920488 |
|     Umi_C03 | 20210201_1000 | 1.47057371623 |
|     Umi_C03 | 20210201_1100 | 1.47462367639 |
|     Umi_C03 | 20210201_1200 | 1.53569374962 |
|     Umi_C03 | 20210201_1300 | 1.66398555209 |
|     Umi_C03 | 20210201_1400 | 1.88323758883 |
|     Umi_C03 | 20210210_0700 | 1.84390623286 |
|     Umi_C03 | 20210210_0800 | 1.64023556236 |
|     Umi_C03 | 20210210_0900 |  1.5228920488 |
|     Umi_C03 | 20210210_1000 | 1.47057371623 |
|     Umi_C03 | 20210210_1100 | 1.47462367639 |
|     Umi_C03 | 20210210_1200 | 1.53569374962 |
|     Umi_C03 | 20210210_1300 | 1.66398555209 |
|     Umi_C03 | 20210210_1400 | 1.88323758883 |
|     Umi_C03 | 20210211_0700 | 1.82722978006 |
|     Umi_C03 | 20210211_0800 | 1.63022379363 |
|     Umi_C03 | 20210211_0900 | 1.51762414656 |
|     Umi_C03 | 20210211_1000 | 1.46915434256 |
|     Umi_C03 | 20210211_1100 | 1.47682480965 |
|     Umi_C03 | 20210211_1200 |  1.5418705841 |
|     Umi_C03 | 20210211_1300 | 1.67520866015 |
|     Umi_C03 | 20210211_1400 | 1.90173389459 |
|     Umi_D01 | 20210201_0900 | 1.86709744011 |
|     Umi_D01 | 20210201_1000 | 1.65466062214 |
|     Umi_D01 | 20210201_1100 | 1.53109762719 |
|     Umi_D01 | 20210201_1200 |  1.4737680218 |
|     Umi_D01 | 20210201_1300 | 1.47314794958 |
|     Umi_D01 | 20210201_1400 | 1.52913773054 |
|     Umi_D01 | 20210210_0900 | 1.86709744011 |
|     Umi_D01 | 20210210_1000 | 1.65466062214 |
|     Umi_D01 | 20210210_1100 | 1.53109762719 |
|     Umi_D01 | 20210210_1200 |  1.4737680218 |
|     Umi_D01 | 20210210_1300 | 1.47314794958 |
|     Umi_D01 | 20210210_1400 | 1.52913773054 |
|     Umi_D01 | 20210211_0900 | 1.84972969132 |
